Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	4634358	0	2938982
0.300000	0	4634227	0	2939014
0.450000	0	4634622	0	2939018
0.600000	0	4634537	0	2938976
0.750000	0	4634608	0	2939130
0.900000	0	4634699	0	2939019
1.050000	0	4634607	0	2939134
1.200000	0	4634537	0	2939164
1.350000	0	4634776	0	2938998
1.500000	0	4634560	0	2939225
1.650000	0	4634531	0	2939136
1.800000	0	4634603	0	2939089
1.950000	0	4634677	0	2939331
2.100000	0	4634638	0	2939166
2.250000	0	4634556	0	2939138
2.400000	0	4634645	0	2939228
2.550000	0	4634746	0	2939112
2.700000	0	4634595	0	2939034
2.850000	0	4634640	0	2939248
3.000000	0	4634784	0	2939166
3.150000	0	4634608	0	2939057
3.300000	0	4634502	0	2939231
3.450000	0	4634661	0	2939241
3.600000	0	4634440	0	2938899
3.750000	0	4634490	0	2939178
3.900000	0	4634557	0	2938996
4.050000	0	4634409	0	2939275
4.200000	0	4634694	0	2938708
4.350000	0	4634653	0	2938975
4.500000	0	4634340	0	2939110
4.650000	0	4634443	0	2938949
4.800000	0	4634787	0	2939072
4.950000	0	4634396	0	2938823
5.100000	0	4634414	0	2938981
5.250000	0	4634519	0	2939173
5.400000	0	4634723	0	2939314
5.550000	0	4634444	0	2939006
5.700000	0	4634575	0	2939165
5.850000	0	4634604	0	2939378
6.000000	0	4634458	0	2939076
6.150000	0	4634527	0	2939115
6.300000	0	4634456	0	2938917
6.450000	0	4634485	0	2939051
6.600000	0	4634505	0	2938923
6.750000	0	4634459	0	2939261
6.900000	0	4634605	0	2938891
7.050000	0	4634719	0	2939166
7.200000	0	4634632	0	2939335
7.350000	0	4634617	0	2939213
7.500000	0	4634512	0	2939345
7.650000	0	4634496	0	2939121
7.800000	0	4634549	0	2939015
7.950000	0	4634408	0	2938801
8.100000	0	4634557	0	2938974
8.250000	0	4634642	0	2939205
8.400000	0	4634415	0	2939277
8.550000	0	4634390	0	2939085
8.700000	0	4634468	0	2938943
8.850000	0	4634571	0	2939058
9.000000	0	4634494	0	2939023
9.150000	0	4634281	0	2939222
9.300000	0	4634460	0	2939126
9.450000	0	4634600	0	2938871
9.600000	0	4634446	0	2939063
9.750000	0	4634773	0	2938956
9.900000	0	4634743	0	2939173
10.050000	0	4634639	0	2938890
10.200000	0	4634640	0	2938938
10.350000	0	4634589	0	2938940
10.500000	0	4634405	0	2939162
10.650000	0	4634614	0	2939223
10.800000	0	4634552	0	2939038
10.950000	0	4634503	0	2939249
11.100000	0	4634417	0	2939065
11.250000	0	4634529	0	2939150
11.400000	0	4634456	0	2938843
11.550000	0	4634535	0	2939021
11.700000	0	4634643	0	2939154
11.850000	0	4634617	0	2938741
12.000000	0	4634760	0	2938872
12.150000	0	4634543	0	2939162
12.300000	0	4634722	0	2939247
12.450000	0	4634453	0	2939475
12.600000	0	4634539	0	2939141
12.750000	0	4634666	0	2939267
12.900000	0	4634485	0	2939111
13.050000	0	4634532	0	2938849
13.200000	0	4634703	0	2939133
13.350000	0	4634373	0	2939195
13.500000	0	4634663	0	2938979
13.650000	0	4634519	0	2939371
13.800000	0	4634620	0	2938959
13.950000	0	4634482	0	2939141
14.100000	0	4634561	0	2939117
14.250000	0	4634613	0	2938998
14.400000	0	4634406	0	2939013
14.550000	0	4634658	0	2938695
14.700000	0	4634590	0	2939200
14.850000	0	4634725	0	2939234
15.000000	0	4634642	0	2939111
15.150000	0	4634507	0	2939076
15.300000	0	4634345	0	2939232
15.450000	0	4634539	0	2939138
15.600000	0	4634772	0	2938868
15.750000	0	4634458	0	2939145
15.900000	0	4634550	0	2939104
16.050000	0	4634483	0	2939238
16.200000	0	4634473	0	2939227
16.350000	0	4634323	0	2939155
16.500000	0	4634561	0	2939014
16.650000	0	4634580	0	2939086
16.800000	0	4634603	0	2939122
16.950000	0	4634444	0	2938977
17.100000	0	4634462	0	2938996
17.250000	0	4634417	0	2939191
17.400000	0	4634513	0	2938975
17.550000	0	4634502	0	2939145
17.700000	0	4634440	0	2939296
17.850000	0	4634673	0	2939150
18.000000	0	4634580	0	2939174
18.150000	0	4634523	0	2939016
18.300000	0	4634607	0	2939067
18.450000	0	4634634	0	2939082
18.600000	0	4634705	0	2939110
18.750000	0	4634619	0	2939215
18.900000	0	4634686	0	2939108
19.050000	0	4634702	0	2939300
19.200000	0	4634858	0	2938951
19.350000	0	4634561	0	2939269
19.500000	0	4634561	0	2939166
19.650000	0	4634616	0	2939237
19.800000	0	4634624	0	2939087
19.950000	0	4634520	0	2939121
20.100000	0	4634585	0	2939011
20.250000	0	4634761	0	2939293
20.400000	0	4634633	0	2939219
20.550000	0	4634607	0	2939092
20.700000	0	4634734	0	2939175
20.850000	0	4634787	0	2939091
21.000000	0	4634643	0	2939226
21.150000	0	4634619	0	2939466
21.300000	0	4634736	0	2939126
21.450000	0	4634592	0	2939085
21.600000	0	4634708	0	2939086
21.750000	0	4634434	0	2939224
21.900000	0	4634742	0	2939117
22.050000	0	4634543	0	2939220
22.200000	0	4634693	0	2939089
22.350000	0	4634560	0	2939104
22.500000	0	4634705	0	2939359
22.650000	0	4634599	0	2939049
22.800000	0	4634634	0	2939191
22.950000	0	4634612	0	2939232
23.100000	0	4634602	0	2938928
23.250000	0	4634792	0	2939186
23.400000	0	4634457	0	2938904
23.550000	0	4634670	0	2938927
23.700000	0	4634581	0	2939326
23.850000	0	4634733	0	2939140
24.000000	0	4634739	0	2938997
24.150000	0	4634607	0	2938929
24.300000	0	4634714	0	2939047
24.450000	0	4634554	0	2938988
24.600000	0	4634596	0	2939266
24.750000	0	4634586	0	2939090
24.900000	0	4634491	0	2939177
25.050000	0	4634808	0	2939035
25.200000	0	4634713	0	2939364
25.350000	0	4634643	0	2939215
25.500000	0	4634576	0	2938909
25.650000	0	4634505	0	2939324
25.800000	0	4634442	0	2939288
25.950000	0	4634534	0	2938875
26.100000	0	4634675	0	2939485
26.250000	0	4634576	0	2939314
26.400000	0	4634712	0	2939224
26.550000	0	4634631	0	2939245
26.700000	0	4634584	0	2939241
26.850000	0	4634551	0	2939185
27.000000	0	4634806	0	2939278
27.150000	0	4634618	0	2939232
27.300000	0	4634584	0	2939265
27.450000	0	4634609	0	2938942
27.600000	0	4634659	0	2939380
27.750000	0	4634744	0	2939151
27.900000	0	4634893	0	2938882
28.050000	0	4634628	0	2939205
28.200000	0	4634598	0	2939501
28.350000	0	4634828	0	2939153
28.500000	0	4634862	0	2939155
28.650000	0	4634653	0	2939078
28.800000	0	4634629	0	2939066
28.950000	0	4634478	0	2939360
29.100000	0	4634625	0	2939202
29.250000	0	4634522	0	2939050
29.400000	0	4634707	0	2939507
29.550000	0	4634602	0	2939413
29.700000	0	4634602	0	2939202
29.850000	0	4634544	0	2939203
30.000000	0	4634633	0	2939082
30.150000	0	4634790	0	2939005
30.300000	0	4634667	0	2939133
30.450000	0	4634564	0	2938895
30.600000	0	4634649	0	2939049
30.750000	0	4634552	0	2939164
30.900000	0	4634591	0	2939170
31.050000	0	4634639	0	2939025
31.200000	0	4634649	0	2939117
31.350000	0	4634610	0	2938828
31.500000	0	4634691	0	2939231
31.650000	0	4634688	0	2939137
