Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	4670942	0	2945670
0.300000	0	4671105	0	2945666
0.450000	0	4671280	0	2946061
0.600000	0	4671137	0	2945470
0.750000	0	4671238	0	2945824
0.900000	0	4670924	0	2945934
1.050000	0	4671197	0	2945636
1.200000	0	4671344	0	2945821
1.350000	0	4671226	0	2945618
1.500000	0	4671272	0	2945954
1.650000	0	4671158	0	2946082
1.800000	0	4671323	0	2945957
1.950000	0	4671290	0	2945987
2.100000	0	4671459	0	2945739
2.250000	0	4671188	0	2945756
2.400000	0	4671312	0	2945700
2.550000	0	4671107	0	2945716
2.700000	0	4671456	0	2945790
2.850000	0	4671289	0	2945543
3.000000	0	4671075	0	2945840
3.150000	0	4671267	0	2945979
3.300000	0	4671297	0	2945721
3.450000	0	4671249	0	2945913
3.600000	0	4671515	0	2945819
3.750000	0	4671233	0	2945660
3.900000	0	4671475	0	2946025
4.050000	0	4671191	0	2946047
4.200000	0	4671236	0	2945838
4.350000	0	4671443	0	2946059
4.500000	0	4671226	0	2945740
4.650000	0	4671310	0	2945944
4.800000	0	4671310	0	2945527
4.950000	0	4671380	0	2945686
5.100000	0	4671303	0	2945719
5.250000	0	4671512	0	2945802
5.400000	0	4671216	0	2945627
5.550000	0	4671411	0	2946024
5.700000	0	4671131	0	2945472
5.850000	0	4671259	0	2945692
6.000000	0	4671390	0	2945884
6.150000	0	4671370	0	2945778
6.300000	0	4671156	0	2945789
6.450000	0	4671393	0	2945856
6.600000	0	4671360	0	2945896
6.750000	0	4670953	0	2945754
6.900000	0	4671462	0	2945650
7.050000	0	4671277	0	2945416
7.200000	0	4671389	0	2945742
7.350000	0	4671261	0	2945803
7.500000	0	4671451	0	2945701
7.650000	0	4671375	0	2945963
7.800000	0	4671314	0	2945943
7.950000	0	4671249	0	2945889
8.100000	0	4671184	0	2945878
8.250000	0	4671495	0	2945647
8.400000	0	4671325	0	2946020
8.550000	0	4671253	0	2945913
8.700000	0	4670967	0	2945681
8.850000	0	4671415	0	2945905
9.000000	0	4671159	0	2945873
9.150000	0	4671205	0	2945542
9.300000	0	4671194	0	2945478
9.450000	0	4671325	0	2945942
