Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	4604111	0	2911681
0.300000	0	4604204	0	2911867
0.450000	0	4604311	0	2911998
0.600000	0	4604603	0	2911837
0.750000	0	4604470	0	2911722
0.900000	0	4604578	0	2912109
1.050000	0	4604579	0	2911972
1.200000	0	4604520	0	2911914
1.350000	0	4604595	0	2911986
1.500000	0	4604414	0	2911841
1.650000	0	4604594	0	2911874
1.800000	0	4604685	0	2911787
1.950000	0	4604532	0	2911618
2.100000	0	4604613	0	2912093
2.250000	0	4604535	0	2911871
2.400000	0	4604758	0	2911905
2.550000	0	4604663	0	2912075
2.700000	0	4604630	0	2911899
2.850000	0	4604573	0	2912038
3.000000	0	4604659	0	2912215
3.150000	0	4604686	0	2911915
3.300000	0	4604549	0	2912066
3.450000	0	4604847	0	2911894
3.600000	0	4604821	0	2912046
3.750000	0	4604687	0	2911958
3.900000	0	4604660	0	2912009
4.050000	0	4604607	0	2912057
4.200000	0	4604666	0	2912188
4.350000	0	4604444	0	2911789
4.500000	0	4604571	0	2912052
4.650000	0	4604632	0	2912121
4.800000	0	4604538	0	2912036
4.950000	0	4604701	0	2911783
5.100000	0	4604506	0	2911932
5.250000	0	4604788	0	2912192
5.400000	0	4604670	0	2912119
5.550000	0	4604699	0	2912016
5.700000	0	4604716	0	2911934
5.850000	0	4604672	0	2911904
6.000000	0	4604650	0	2911783
6.150000	0	4604638	0	2911738
6.300000	0	4604639	0	2912072
6.450000	0	4604559	0	2911921
6.600000	0	4604513	0	2911763
6.750000	0	4604838	0	2911726
6.900000	0	4604731	0	2912335
7.050000	0	4604691	0	2912033
7.200000	0	4604653	0	2911870
7.350000	0	4604743	0	2911897
7.500000	0	4604712	0	2911749
7.650000	0	4604625	0	2912022
7.800000	0	4604622	0	2911938
7.950000	0	4604634	0	2911884
8.100000	0	4604625	0	2911922
8.250000	0	4604542	0	2912083
8.400000	0	4604513	0	2912021
8.550000	0	4604574	0	2911821
8.700000	0	4604780	0	2912051
8.850000	0	4604509	0	2912216
9.000000	0	4604533	0	2912198
9.150000	0	4604723	0	2912002
9.300000	0	4604663	0	2912037
9.450000	0	4604673	0	2912134
9.600000	0	4604472	0	2911992
9.750000	0	4604693	0	2911817
9.900000	0	4604622	0	2912088
10.050000	0	4604597	0	2912095
10.200000	0	4604591	0	2912041
10.350000	0	4604478	0	2912061
10.500000	0	4604557	0	2911993
10.650000	0	4604563	0	2911939
10.800000	0	4604634	0	2911645
10.950000	0	4604535	0	2912039
11.100000	0	4604605	0	2911868
