Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	4573332	0	2897538
0.300000	0	4581934	0	2902379
0.450000	0	4582396	0	2902236
0.600000	0	4582388	0	2902405
0.750000	0	4582506	0	2902484
0.900000	0	4582330	0	2902519
1.050000	0	4582406	0	2902541
1.200000	0	4582332	0	2902385
1.350000	0	4582436	0	2902350
1.500000	0	4582435	0	2902490
1.650000	0	4582657	0	2902435
1.800000	0	4582431	0	2902582
1.950000	0	4582385	0	2902501
2.100000	0	4582567	0	2902446
2.250000	0	4582501	0	2902621
2.400000	0	4582500	0	2902405
2.550000	0	4582482	0	2902557
2.700000	0	4582356	0	2902611
2.850000	0	4582447	0	2902565
3.000000	0	4582566	0	2902647
3.150000	0	4582404	0	2902351
3.300000	0	4582536	0	2902345
3.450000	0	4582504	0	2902503
3.600000	0	4582530	0	2902726
3.750000	0	4582578	0	2902375
3.900000	0	4582410	0	2902478
4.050000	0	4582685	0	2902540
4.200000	0	4582491	0	2902552
4.350000	0	4582654	0	2902428
4.500000	0	4582576	0	2902577
4.650000	0	4582639	0	2902518
4.800000	0	4582609	0	2902522
4.950000	0	4582563	0	2902530
5.100000	0	4582622	0	2902679
5.250000	0	4582479	0	2902569
5.400000	0	4582402	0	2902427
5.550000	0	4582635	0	2902362
5.700000	0	4582444	0	2902527
5.850000	0	4582568	0	2902390
6.000000	0	4582536	0	2902461
6.150000	0	4582567	0	2902342
6.300000	0	4582643	0	2902438
6.450000	0	4582662	0	2902354
6.600000	0	4582434	0	2902396
6.750000	0	4582549	0	2902614
6.900000	0	4582536	0	2902520
7.050000	0	4582467	0	2902503
7.200000	0	4582522	0	2902427
7.350000	0	4582688	0	2902256
7.500000	0	4582639	0	2902549
7.650000	0	4582509	0	2902524
7.800000	0	4582524	0	2902316
7.950000	0	4582398	0	2902583
8.100000	0	4582432	0	2902554
8.250000	0	4582617	0	2902382
8.400000	0	4582653	0	2902342
8.550000	0	4582386	0	2902316
8.700000	0	4582643	0	2902759
8.850000	0	4582681	0	2902577
9.000000	0	4582479	0	2902531
9.150000	0	4582378	0	2902692
9.300000	0	4582635	0	2902681
9.450000	0	4582609	0	2902424
9.600000	0	4582409	0	2902644
9.750000	0	4582468	0	2902518
9.900000	0	4582495	0	2902598
10.050000	0	4582646	0	2902639
10.200000	0	4582523	0	2902311
10.350000	0	4582455	0	2902220
10.500000	0	4582534	0	2902426
10.650000	0	4582483	0	2902412
10.800000	0	4582684	0	2902396
10.950000	0	4582639	0	2902587
11.100000	0	4582476	0	2902657
11.250000	0	4582410	0	2902568
11.400000	0	4582726	0	2902575
11.550000	0	4582605	0	2902582
11.700000	0	4582662	0	2902420
11.850000	0	4582401	0	2902607
12.000000	0	4582559	0	2902502
12.150000	0	4582594	0	2902261
12.300000	0	4582518	0	2902533
12.450000	0	4582517	0	2902510
12.600000	0	4582782	0	2902492
12.750000	0	4582696	0	2902888
12.900000	0	4582415	0	2902448
13.050000	0	4582704	0	2902656
13.200000	0	4582663	0	2902458
13.350000	0	4582603	0	2902691
13.500000	0	4582592	0	2902695
13.650000	0	4582619	0	2902489
13.800000	0	4582574	0	2902495
13.950000	0	4582769	0	2902580
14.100000	0	4582429	0	2902534
14.250000	0	4582385	0	2902586
14.400000	0	4582556	0	2902481
14.550000	0	4582485	0	2902603
14.700000	0	4582622	0	2902374
14.850000	0	4582537	0	2902440
15.000000	0	4582553	0	2902500
15.150000	0	4582707	0	2902387
15.300000	0	4582715	0	2902466
15.450000	0	4582650	0	2902525
15.600000	0	4582615	0	2902476
15.750000	0	4582624	0	2902503
15.900000	0	4582655	0	2902421
16.050000	0	4582828	0	2902395
