Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	4589810	0	2906406
0.300000	0	4590078	0	2906773
0.450000	0	4590212	0	2906652
0.600000	0	4590347	0	2906800
0.750000	0	4590286	0	2907019
0.900000	0	4590289	0	2906777
1.050000	0	4590424	0	2907010
1.200000	0	4590229	0	2906948
1.350000	0	4590304	0	2906899
1.500000	0	4590411	0	2906822
1.650000	0	4590279	0	2906555
1.800000	0	4590362	0	2906786
1.950000	0	4590373	0	2906867
2.100000	0	4590461	0	2906802
2.250000	0	4590606	0	2906982
2.400000	0	4590385	0	2907032
2.550000	0	4590421	0	2906814
2.700000	0	4590375	0	2907071
2.850000	0	4590389	0	2906675
3.000000	0	4590420	0	2906812
3.150000	0	4590390	0	2906987
3.300000	0	4590406	0	2906670
3.450000	0	4590451	0	2907155
3.600000	0	4590474	0	2906660
3.750000	0	4590360	0	2906818
3.900000	0	4590534	0	2906980
4.050000	0	4590349	0	2906826
4.200000	0	4590382	0	2906892
4.350000	0	4590352	0	2906653
4.500000	0	4590374	0	2906997
4.650000	0	4590356	0	2906731
4.800000	0	4590152	0	2907038
4.950000	0	4590427	0	2906954
5.100000	0	4590449	0	2906804
5.250000	0	4590393	0	2906890
5.400000	0	4590346	0	2906778
5.550000	0	4590505	0	2906959
5.700000	0	4590330	0	2907015
5.850000	0	4590418	0	2907051
6.000000	0	4590612	0	2907050
6.150000	0	4590421	0	2907033
6.300000	0	4590183	0	2906816
6.450000	0	4590420	0	2906868
6.600000	0	4590332	0	2906828
6.750000	0	4590417	0	2907060
6.900000	0	4590441	0	2906935
7.050000	0	4590510	0	2906987
7.200000	0	4590330	0	2907029
7.350000	0	4590395	0	2907012
7.500000	0	4590500	0	2906721
7.650000	0	4590393	0	2906766
7.800000	0	4590589	0	2906656
7.950000	0	4590357	0	2907100
8.100000	0	4590317	0	2906944
8.250000	0	4590411	0	2906819
8.400000	0	4590498	0	2906906
8.550000	0	4590340	0	2906871
8.700000	0	4590468	0	2906750
8.850000	0	4590505	0	2906579
9.000000	0	4590466	0	2906790
9.150000	0	4590318	0	2906997
9.300000	0	4590385	0	2906845
9.450000	0	4590476	0	2907071
9.600000	0	4590364	0	2906758
9.750000	0	4590446	0	2906737
9.900000	0	4590483	0	2906866
10.050000	0	4590431	0	2906610
10.200000	0	4590390	0	2906739
10.350000	0	4590180	0	2906982
10.500000	0	4590417	0	2906801
10.650000	0	4590420	0	2907056
10.800000	0	4590412	0	2906842
10.950000	0	4590366	0	2906596
11.100000	0	4590344	0	2907069
11.250000	0	4590457	0	2906618
11.400000	0	4590192	0	2906945
11.550000	0	4590412	0	2907073
11.700000	0	4590358	0	2906768
11.850000	0	4590186	0	2906914
12.000000	0	4590512	0	2907080
12.150000	0	4590204	0	2906908
12.300000	0	4590343	0	2906893
12.450000	0	4590462	0	2906958
12.600000	0	4590497	0	2906921
12.750000	0	4590297	0	2906911
12.900000	0	4590366	0	2906607
13.050000	0	4590330	0	2906990
