Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	3058942	0	1952876
0.300000	0	3058838	0	1953388
0.450000	0	3059002	0	1953004
0.600000	0	3059047	0	1953007
0.750000	0	3058968	0	1953044
0.900000	0	3058848	0	1952967
1.050000	0	3059168	0	1952830
1.200000	0	3059063	0	1952934
1.350000	0	3058878	0	1952838
1.500000	0	3058961	0	1953097
1.650000	0	3059078	0	1953018
1.800000	0	3058896	0	1952996
1.950000	0	3058801	0	1953024
2.100000	0	3058916	0	1952806
2.250000	0	3058928	0	1953017
2.400000	0	3059003	0	1953089
2.550000	0	3059027	0	1952932
2.700000	0	3058991	0	1952766
2.850000	0	3059045	0	1952926
3.000000	0	3058935	0	1953071
3.150000	0	3058860	0	1953121
3.300000	0	3058754	0	1953001
3.450000	0	3058893	0	1953104
3.600000	0	3058763	0	1952762
3.750000	0	3058764	0	1952986
3.900000	0	3058996	0	1953042
4.050000	0	3058953	0	1953103
4.200000	0	3058882	0	1952796
4.350000	0	3058703	0	1952827
4.500000	0	3058717	0	1952884
4.650000	0	3058879	0	1952981
4.800000	0	3058814	0	1953051
4.950000	0	3058776	0	1953030
5.100000	0	3058868	0	1953059
5.250000	0	3059038	0	1953029
5.400000	0	3058868	0	1952775
5.550000	0	3058996	0	1952997
5.700000	0	3058786	0	1952738
5.850000	0	3058733	0	1952713
6.000000	0	3059010	0	1953129
6.150000	0	3058885	0	1952881
6.300000	0	3058905	0	1953115
6.450000	0	3058754	0	1952993
6.600000	0	3058889	0	1952769
6.750000	0	3058813	0	1952715
6.900000	0	3058818	0	1952880
7.050000	0	3058944	0	1953076
7.200000	0	3058961	0	1952911
7.350000	0	3058993	0	1953071
7.500000	0	3058856	0	1952749
7.650000	0	3058775	0	1952830
7.800000	0	3058756	0	1952794
7.950000	0	3058646	0	1952893
8.100000	0	3058652	0	1953145
8.250000	0	3058671	0	1952870
8.400000	0	3058665	0	1952819
8.550000	0	3058658	0	1952717
8.700000	0	3058627	0	1952745
8.850000	0	3058737	0	1952892
9.000000	0	3058805	0	1952953
9.150000	0	3058770	0	1952787
9.300000	0	3058758	0	1952754
9.450000	0	3058759	0	1953159
9.600000	0	3058643	0	1953129
9.750000	0	3058832	0	1952879
9.900000	0	3058900	0	1953092
10.050000	0	3058822	0	1952932
10.200000	0	3058915	0	1952765
10.350000	0	3058832	0	1953060
10.500000	0	3058932	0	1952760
10.650000	0	3058824	0	1952958
10.800000	0	3058859	0	1952935
10.950000	0	3058964	0	1953011
11.100000	0	3059042	0	1952965
11.250000	0	3058899	0	1952903
11.400000	0	3058711	0	1953026
11.550000	0	3058754	0	1952871
11.700000	0	3058966	0	1952781
11.850000	0	3058821	0	1952881
12.000000	0	3058967	0	1953071
12.150000	0	3058946	0	1953096
12.300000	0	3058966	0	1952843
12.450000	0	3059010	0	1952987
12.600000	0	3058828	0	1952887
12.750000	0	3058920	0	1953006
12.900000	0	3058827	0	1953069
13.050000	0	3059063	0	1953138
13.200000	0	3059099	0	1953109
13.350000	0	3058999	0	1953027
13.500000	0	3059043	0	1953107
13.650000	0	3059001	0	1953009
13.800000	0	3059051	0	1953174
13.950000	0	3059044	0	1953007
14.100000	0	3059090	0	1953104
14.250000	0	3059152	0	1953116
14.400000	0	3059189	0	1952821
14.550000	0	3059147	0	1953230
14.700000	0	3059162	0	1952836
14.850000	0	3059040	0	1953181
15.000000	0	3059067	0	1953022
15.150000	0	3059101	0	1953288
15.300000	0	3059080	0	1952946
15.450000	0	3059247	0	1952997
15.600000	0	3059127	0	1953138
15.750000	0	3059219	0	1952977
15.900000	0	3059085	0	1953011
16.050000	0	3059135	0	1953274
16.200000	0	3059177	0	1952910
16.350000	0	3059082	0	1953041
16.500000	0	3059111	0	1952928
16.650000	0	3059119	0	1952983
16.800000	0	3059171	0	1953114
16.950000	0	3059169	0	1953184
17.100000	0	3059131	0	1953017
17.250000	0	3059183	0	1953186
17.400000	0	3059050	0	1953187
17.550000	0	3059299	0	1953034
17.700000	0	3059256	0	1953309
17.850000	0	3059235	0	1953063
18.000000	0	3059186	0	1953422
18.150000	0	3059295	0	1952992
18.300000	0	3059193	0	1953218
18.450000	0	3058993	0	1953133
18.600000	0	3059076	0	1953119
18.750000	0	3059244	0	1953067
18.900000	0	3059079	0	1952985
19.050000	0	3059241	0	1953112
19.200000	0	3059219	0	1953126
19.350000	0	3059181	0	1953172
19.500000	0	3059165	0	1953062
19.650000	0	3059224	0	1952932
19.800000	0	3059256	0	1953190
19.950000	0	3059287	0	1953235
20.100000	0	3059182	0	1953375
20.250000	0	3059252	0	1953276
20.400000	0	3059073	0	1953053
20.550000	0	3059165	0	1953269
20.700000	0	3059184	0	1953338
20.850000	0	3059257	0	1953218
21.000000	0	3059233	0	1953036
21.150000	0	3059112	0	1953131
21.300000	0	3059069	0	1952934
21.450000	0	3059116	0	1953083
21.600000	0	3059203	0	1952923
21.750000	0	3059103	0	1952991
21.900000	0	3059122	0	1953049
22.050000	0	3059212	0	1953176
22.200000	0	3059273	0	1953062
22.350000	0	3059192	0	1953170
22.500000	0	3059068	0	1952998
22.650000	0	3059130	0	1953130
22.800000	0	3059089	0	1953110
22.950000	0	3059196	0	1952878
23.100000	0	3059025	0	1953282
23.250000	0	3059010	0	1952699
23.400000	0	3059153	0	1953073
23.550000	0	3059007	0	1952992
23.700000	0	3059039	0	1952944
23.850000	0	3059143	0	1952957
24.000000	0	3059022	0	1952983
24.150000	0	3059005	0	1953024
24.300000	0	3059138	0	1952790
24.450000	0	3059074	0	1953121
24.600000	0	3059001	0	1953150
24.750000	0	3059019	0	1952892
24.900000	0	3059018	0	1953099
25.050000	0	3058994	0	1952895
25.200000	0	3059144	0	1953077
25.350000	0	3059064	0	1953101
25.500000	0	3059016	0	1953050
25.650000	0	3059092	0	1952890
25.800000	0	3059021	0	1953216
25.950000	0	3059110	0	1953025
26.100000	0	3058976	0	1953079
26.250000	0	3059116	0	1953056
26.400000	0	3059113	0	1953082
26.550000	0	3058971	0	1953079
26.700000	0	3059042	0	1953000
26.850000	0	3059092	0	1953059
27.000000	0	3059214	0	1953016
27.150000	0	3059177	0	1953185
27.300000	0	3059062	0	1953127
27.450000	0	3059047	0	1952995
27.600000	0	3059145	0	1953107
27.750000	0	3058926	0	1952974
27.900000	0	3058957	0	1952896
28.050000	0	3058928	0	1953028
28.200000	0	3059049	0	1953080
28.350000	0	3059042	0	1953029
28.500000	0	3059043	0	1953011
28.650000	0	3059158	0	1952970
28.800000	0	3059001	0	1952915
28.950000	0	3059019	0	1953201
29.100000	0	3058913	0	1953067
29.250000	0	3058983	0	1952962
29.400000	0	3058951	0	1952946
29.550000	0	3058985	0	1952776
29.700000	0	3058875	0	1953172
29.850000	0	3059008	0	1953146
30.000000	0	3058759	0	1952956
30.150000	0	3058903	0	1953016
30.300000	0	3058842	0	1952976
30.450000	0	3058955	0	1953059
30.600000	0	3058975	0	1952823
30.750000	0	3059032	0	1952981
30.900000	0	3059051	0	1953149
31.050000	0	3058917	0	1952890
31.200000	0	3058917	0	1953040
31.350000	0	3058908	0	1953147
31.500000	0	3059156	0	1952970
31.650000	0	3059086	0	1953038
31.800000	0	3059048	0	1953047
31.950000	0	3059086	0	1952997
32.100000	0	3059112	0	1953100
32.250000	0	3058932	0	1953002
32.400000	0	3058868	0	1953029
32.550000	0	3058949	0	1953085
32.700000	0	3059033	0	1952820
32.850000	0	3058942	0	1952929
33.000000	0	3059010	0	1952811
33.150000	0	3059023	0	1952781
33.300000	0	3058874	0	1952873
33.450000	0	3059065	0	1952805
33.600000	0	3059043	0	1953000
33.750000	0	3058909	0	1952910
33.900000	0	3058875	0	1952925
34.050000	0	3058897	0	1952894
34.200000	0	3058983	0	1952966
34.350000	0	3058953	0	1952735
34.500000	0	3058830	0	1952908
34.650000	0	3058983	0	1953002
34.800000	0	3059103	0	1952807
34.950000	0	3059048	0	1952855
35.100000	0	3058896	0	1952689
35.250000	0	3058848	0	1952851
35.400000	0	3058917	0	1952619
35.550000	0	3059039	0	1952895
35.700000	0	3059001	0	1952932
35.850000	0	3058838	0	1952880
36.000000	0	3059163	0	1953308
36.150000	0	3058915	0	1952897
36.300000	0	3058972	0	1953029
36.450000	0	3058836	0	1953172
36.600000	0	3058857	0	1953112
36.750000	0	3059056	0	1953172
36.900000	0	3058918	0	1953052
37.050000	0	3058936	0	1953055
37.200000	0	3058876	0	1952871
37.350000	0	3059043	0	1952952
37.500000	0	3058801	0	1952813
37.650000	0	3058868	0	1952806
37.800000	0	3059068	0	1952832
37.950000	0	3059011	0	1952733
38.100000	0	3058938	0	1952814
38.250000	0	3059035	0	1953061
38.400000	0	3059000	0	1952817
38.550000	0	3058969	0	1952875
38.700000	0	3058889	0	1952738
38.850000	0	3058777	0	1952790
39.000000	0	3059072	0	1953020
39.150000	0	3059137	0	1953038
39.300000	0	3059015	0	1952988
39.450000	0	3059064	0	1952818
39.600000	0	3059089	0	1952788
39.750000	0	3058942	0	1953030
39.900000	0	3058978	0	1953121
40.050000	0	3058897	0	1952599
40.200000	0	3058898	0	1952885
40.350000	0	3058898	0	1952792
40.500000	0	3058702	0	1952946
40.650000	0	3058781	0	1953117
40.800000	0	3058752	0	1952819
40.950000	0	3058892	0	1952956
41.100000	0	3058999	0	1952695
41.250000	0	3058795	0	1952819
41.400000	0	3058787	0	1952701
41.550000	0	3058894	0	1952807
41.700000	0	3058769	0	1952830
41.850000	0	3058798	0	1953015
42.000000	0	3058653	0	1952913
42.150000	0	3058620	0	1952825
42.300000	0	3058728	0	1953074
42.450000	0	3058686	0	1952827
42.600000	0	3058603	0	1952712
42.750000	0	3058754	0	1952906
42.900000	0	3058763	0	1952601
43.050000	0	3058731	0	1952826
43.200000	0	3058939	0	1952983
43.350000	0	3058861	0	1953016
43.500000	0	3058843	0	1953047
43.650000	0	3058944	0	1952862
43.800000	0	3058749	0	1952727
43.950000	0	3058803	0	1952698
44.100000	0	3058769	0	1952776
44.250000	0	3058584	0	1952630
44.400000	0	3058670	0	1952699
44.550000	0	3058733	0	1952778
44.700000	0	3058785	0	1952982
44.850000	0	3058703	0	1952976
45.000000	0	3058683	0	1952823
45.150000	0	3058731	0	1952437
45.300000	0	3058641	0	1952609
45.450000	0	3058671	0	1952989
