Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	3048184	0	1945919
0.300000	0	3048337	0	1946063
0.450000	0	3047966	0	1945999
0.600000	0	3048264	0	1945828
0.750000	0	3048304	0	1945869
0.900000	0	3048300	0	1945818
1.050000	0	3048136	0	1945637
1.200000	0	3048298	0	1945843
1.350000	0	3048220	0	1945807
1.500000	0	3048348	0	1945936
1.650000	0	3048377	0	1945687
1.800000	0	3048246	0	1945903
1.950000	0	3048392	0	1945898
2.100000	0	3048212	0	1945823
2.250000	0	3048104	0	1945964
2.400000	0	3048321	0	1946063
2.550000	0	3048239	0	1946020
2.700000	0	3048439	0	1945725
2.850000	0	3048253	0	1945947
3.000000	0	3048193	0	1945753
3.150000	0	3048249	0	1945797
3.300000	0	3048388	0	1946044
3.450000	0	3048408	0	1945762
3.600000	0	3048290	0	1945978
3.750000	0	3048383	0	1945692
3.900000	0	3048512	0	1945938
4.050000	0	3048437	0	1945845
4.200000	0	3048437	0	1945906
4.350000	0	3048365	0	1945890
4.500000	0	3048377	0	1945707
4.650000	0	3048411	0	1945953
4.800000	0	3048316	0	1946139
4.950000	0	3048339	0	1945900
5.100000	0	3048277	0	1945921
5.250000	0	3048263	0	1945849
5.400000	0	3048425	0	1946152
5.550000	0	3048370	0	1945950
5.700000	0	3048369	0	1945927
5.850000	0	3048528	0	1946039
6.000000	0	3048270	0	1946128
6.150000	0	3048356	0	1946131
6.300000	0	3048585	0	1945888
6.450000	0	3048451	0	1945876
6.600000	0	3048414	0	1946029
6.750000	0	3048561	0	1946017
6.900000	0	3048620	0	1946201
7.050000	0	3048548	0	1946020
7.200000	0	3048545	0	1945951
7.350000	0	3048400	0	1946166
7.500000	0	3048532	0	1946062
7.650000	0	3048587	0	1945718
7.800000	0	3048867	0	1946202
7.950000	0	3048589	0	1946072
8.100000	0	3048586	0	1946062
8.250000	0	3048708	0	1946222
8.400000	0	3048652	0	1945961
8.550000	0	3048503	0	1946000
8.700000	0	3048707	0	1946031
8.850000	0	3048669	0	1946161
9.000000	0	3048550	0	1946014
9.150000	0	3048652	0	1945978
9.300000	0	3048732	0	1945947
9.450000	0	3048403	0	1946070
9.600000	0	3048573	0	1946161
9.750000	0	3048473	0	1946165
9.900000	0	3048657	0	1946137
10.050000	0	3048594	0	1946068
10.200000	0	3048477	0	1946144
10.350000	0	3048595	0	1945977
10.500000	0	3048674	0	1946195
10.650000	0	3048452	0	1945889
10.800000	0	3048475	0	1946015
10.950000	0	3048413	0	1945994
11.100000	0	3048558	0	1945998
11.250000	0	3048417	0	1946081
11.400000	0	3048648	0	1946024
11.550000	0	3048347	0	1945928
11.700000	0	3048440	0	1946113
11.850000	0	3048511	0	1946062
12.000000	0	3048283	0	1945822
12.150000	0	3048398	0	1945548
12.300000	0	3048468	0	1946146
12.450000	0	3048482	0	1945916
12.600000	0	3048446	0	1945753
12.750000	0	3048343	0	1946041
12.900000	0	3048556	0	1945843
13.050000	0	3048439	0	1945974
13.200000	0	3048308	0	1946091
13.350000	0	3048283	0	1945775
13.500000	0	3048322	0	1945812
13.650000	0	3048287	0	1946061
13.800000	0	3048311	0	1945906
13.950000	0	3048304	0	1945764
14.100000	0	3048085	0	1946099
14.250000	0	3048228	0	1945931
14.400000	0	3048519	0	1945851
14.550000	0	3048275	0	1945933
14.700000	0	3048279	0	1945791
14.850000	0	3048121	0	1946005
15.000000	0	3048165	0	1945786
15.150000	0	3048123	0	1945804
15.300000	0	3048251	0	1945883
15.450000	0	3048199	0	1946058
15.600000	0	3048263	0	1945985
15.750000	0	3048225	0	1945748
15.900000	0	3048426	0	1945723
16.050000	0	3048433	0	1945965
16.200000	0	3048236	0	1945934
16.350000	0	3048289	0	1946052
16.500000	0	3048363	0	1945697
16.650000	0	3048127	0	1946024
16.800000	0	3048172	0	1945907
16.950000	0	3048173	0	1945780
17.100000	0	3048079	0	1945880
17.250000	0	3048149	0	1945760
17.400000	0	3048203	0	1945905
17.550000	0	3048311	0	1945864
17.700000	0	3048381	0	1945900
17.850000	0	3048317	0	1945849
18.000000	0	3048188	0	1945595
18.150000	0	3048167	0	1945939
18.300000	0	3048191	0	1945912
18.450000	0	3048259	0	1945857
18.600000	0	3048051	0	1945751
18.750000	0	3048182	0	1945702
18.900000	0	3048153	0	1945764
19.050000	0	3048088	0	1945854
19.200000	0	3048048	0	1945630
19.350000	0	3048125	0	1945641
19.500000	0	3048021	0	1945837
19.650000	0	3048150	0	1945555
19.800000	0	3048172	0	1945461
19.950000	0	3048139	0	1945690
20.100000	0	3048063	0	1945675
20.250000	0	3048092	0	1945821
20.400000	0	3048012	0	1945854
20.550000	0	3048199	0	1945839
20.700000	0	3048119	0	1945873
20.850000	0	3047911	0	1945545
21.000000	0	3048021	0	1945793
21.150000	0	3048006	0	1945760
21.300000	0	3047911	0	1945781
21.450000	0	3048016	0	1945757
21.600000	0	3048001	0	1945793
21.750000	0	3048040	0	1945537
21.900000	0	3048010	0	1945753
22.050000	0	3048023	0	1945439
22.200000	0	3048144	0	1945876
22.350000	0	3048117	0	1945890
22.500000	0	3048113	0	1945690
22.650000	0	3047961	0	1945956
22.800000	0	3048020	0	1946172
22.950000	0	3047925	0	1945694
23.100000	0	3048071	0	1945871
23.250000	0	3048143	0	1945875
23.400000	0	3048078	0	1946037
23.550000	0	3048041	0	1945758
23.700000	0	3048026	0	1945716
23.850000	0	3048163	0	1945876
24.000000	0	3047981	0	1945764
24.150000	0	3048104	0	1945971
24.300000	0	3048085	0	1945703
24.450000	0	3048052	0	1946030
24.600000	0	3048168	0	1946009
24.750000	0	3048189	0	1945955
24.900000	0	3048154	0	1945971
25.050000	0	3048185	0	1945660
25.200000	0	3048350	0	1945942
25.350000	0	3048346	0	1945727
25.500000	0	3048325	0	1945761
25.650000	0	3048177	0	1945979
25.800000	0	3048135	0	1945674
25.950000	0	3048061	0	1945927
26.100000	0	3048154	0	1945786
26.250000	0	3048332	0	1945987
26.400000	0	3048070	0	1945807
26.550000	0	3048010	0	1945763
26.700000	0	3048114	0	1945777
26.850000	0	3047965	0	1946000
27.000000	0	3048075	0	1945715
27.150000	0	3048222	0	1945620
27.300000	0	3048246	0	1945826
27.450000	0	3048197	0	1945609
27.600000	0	3048027	0	1945860
27.750000	0	3048278	0	1945799
27.900000	0	3048103	0	1945828
28.050000	0	3048032	0	1945864
28.200000	0	3048171	0	1945801
28.350000	0	3048082	0	1945826
28.500000	0	3048137	0	1945843
