Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	3315342	0	2109026
0.300000	0	3316566	0	2109769
0.450000	0	3316413	0	2109898
0.600000	0	3316568	0	2109923
0.750000	0	3316448	0	2109713
0.900000	0	3316498	0	2109574
1.050000	0	3316594	0	2109713
1.200000	0	3316555	0	2109838
1.350000	0	3316615	0	2109704
1.500000	0	3316521	0	2109763
1.650000	0	3316514	0	2109644
1.800000	0	3316475	0	2109846
1.950000	0	3316569	0	2109826
2.100000	0	3316480	0	2109831
2.250000	0	3316492	0	2109899
2.400000	0	3316586	0	2109914
2.550000	0	3316502	0	2109746
2.700000	0	3316395	0	2109755
2.850000	0	3316449	0	2109717
3.000000	0	3316454	0	2109982
3.150000	0	3316481	0	2109971
3.300000	0	3316615	0	2109897
3.450000	0	3316505	0	2109749
3.600000	0	3316633	0	2109852
3.750000	0	3316473	0	2109714
3.900000	0	3316535	0	2109801
4.050000	0	3316475	0	2110027
4.200000	0	3316468	0	2109753
4.350000	0	3316493	0	2109527
4.500000	0	3316566	0	2109762
4.650000	0	3316607	0	2109879
4.800000	0	3316622	0	2109683
4.950000	0	3316519	0	2109766
5.100000	0	3316475	0	2109899
5.250000	0	3316481	0	2109646
5.400000	0	3316357	0	2109948
5.550000	0	3316519	0	2109676
5.700000	0	3316568	0	2109860
5.850000	0	3316320	0	2109629
6.000000	0	3316533	0	2109812
6.150000	0	3316593	0	2109693
6.300000	0	3316404	0	2109704
6.450000	0	3316440	0	2109600
6.600000	0	3316383	0	2109725
6.750000	0	3316478	0	2109765
6.900000	0	3316302	0	2109956
7.050000	0	3316524	0	2109647
7.200000	0	3316501	0	2109638
7.350000	0	3316529	0	2109903
7.500000	0	3316360	0	2109805
7.650000	0	3316492	0	2109312
7.800000	0	3316474	0	2109575
7.950000	0	3316539	0	2109711
8.100000	0	3316415	0	2109816
8.250000	0	3316327	0	2109737
8.400000	0	3316538	0	2109490
8.550000	0	3316470	0	2109657
8.700000	0	3316511	0	2109552
8.850000	0	3316493	0	2109768
9.000000	0	3316593	0	2109908
9.150000	0	3316592	0	2109930
9.300000	0	3316395	0	2109658
9.450000	0	3316550	0	2109643
9.600000	0	3316563	0	2109863
9.750000	0	3316482	0	2109765
9.900000	0	3316566	0	2109675
10.050000	0	3316502	0	2109715
10.200000	0	3316432	0	2109790
10.350000	0	3316523	0	2109772
10.500000	0	3316605	0	2109579
10.650000	0	3316600	0	2109641
10.800000	0	3316703	0	2109769
10.950000	0	3316545	0	2109785
11.100000	0	3316558	0	2110019
11.250000	0	3316550	0	2109797
11.400000	0	3316585	0	2109801
11.550000	0	3316416	0	2109600
11.700000	0	3316469	0	2109663
11.850000	0	3316550	0	2109805
12.000000	0	3316698	0	2109590
12.150000	0	3316450	0	2109855
12.300000	0	3316500	0	2109718
12.450000	0	3316545	0	2110026
12.600000	0	3316436	0	2109645
12.750000	0	3316617	0	2109391
12.900000	0	3316335	0	2109736
13.050000	0	3316596	0	2109664
13.200000	0	3316494	0	2109818
13.350000	0	3316522	0	2109890
13.500000	0	3316576	0	2109962
13.650000	0	3316513	0	2109537
13.800000	0	3316565	0	2110026
13.950000	0	3316485	0	2109515
14.100000	0	3316585	0	2109626
14.250000	0	3316512	0	2109749
14.400000	0	3316362	0	2109704
14.550000	0	3316530	0	2109556
14.700000	0	3316389	0	2109910
14.850000	0	3316534	0	2109646
15.000000	0	3316437	0	2109613
15.150000	0	3316420	0	2109695
15.300000	0	3316369	0	2109610
15.450000	0	3316302	0	2109784
15.600000	0	3316448	0	2109700
15.750000	0	3316491	0	2109719
15.900000	0	3316469	0	2109656
16.050000	0	3316448	0	2109715
16.200000	0	3316591	0	2109648
16.350000	0	3316406	0	2109745
16.500000	0	3316524	0	2109741
16.650000	0	3316547	0	2109620
16.800000	0	3316591	0	2109759
16.950000	0	3316667	0	2109880
17.100000	0	3316422	0	2109773
17.250000	0	3316356	0	2109695
17.400000	0	3316398	0	2109769
17.550000	0	3316352	0	2109504
17.700000	0	3316670	0	2109808
17.850000	0	3316479	0	2109700
18.000000	0	3316604	0	2109711
18.150000	0	3316560	0	2109795
18.300000	0	3316584	0	2109814
18.450000	0	3316404	0	2109605
18.600000	0	3316639	0	2109916
18.750000	0	3316498	0	2109964
18.900000	0	3316618	0	2109854
19.050000	0	3316684	0	2109765
19.200000	0	3316353	0	2109630
19.350000	0	3316573	0	2109819
19.500000	0	3316710	0	2109651
19.650000	0	3316615	0	2109958
19.800000	0	3316563	0	2109639
19.950000	0	3316572	0	2109919
20.100000	0	3316551	0	2109893
20.250000	0	3316617	0	2109741
20.400000	0	3316666	0	2109902
20.550000	0	3316561	0	2109786
20.700000	0	3316408	0	2109679
20.850000	0	3316591	0	2109719
21.000000	0	3316644	0	2109794
21.150000	0	3316700	0	2109638
21.300000	0	3316506	0	2109961
21.450000	0	3316708	0	2109680
21.600000	0	3316707	0	2109732
21.750000	0	3316554	0	2109840
21.900000	0	3316441	0	2109717
22.050000	0	3316561	0	2109722
22.200000	0	3316667	0	2109520
22.350000	0	3316589	0	2109834
22.500000	0	3316610	0	2109630
22.650000	0	3316665	0	2109726
22.800000	0	3316457	0	2109776
22.950000	0	3316657	0	2109777
23.100000	0	3316697	0	2109724
23.250000	0	3316629	0	2109716
23.400000	0	3316305	0	2109902
23.550000	0	3316326	0	2109892
23.700000	0	3316645	0	2109668
23.850000	0	3316614	0	2109740
24.000000	0	3316573	0	2109526
24.150000	0	3316721	0	2109850
24.300000	0	3316589	0	2109584
24.450000	0	3316620	0	2110034
24.600000	0	3316572	0	2109668
24.750000	0	3316665	0	2109881
24.900000	0	3316612	0	2109905
25.050000	0	3316506	0	2109927
25.200000	0	3316498	0	2109648
25.350000	0	3316528	0	2109586
25.500000	0	3316649	0	2109604
25.650000	0	3316616	0	2109948
25.800000	0	3316838	0	2109697
25.950000	0	3316626	0	2109766
26.100000	0	3316666	0	2109596
26.250000	0	3316584	0	2109932
26.400000	0	3316609	0	2109880
26.550000	0	3316692	0	2109754
26.700000	0	3316622	0	2109923
26.850000	0	3316630	0	2109837
27.000000	0	3316520	0	2109780
27.150000	0	3316767	0	2109652
27.300000	0	3316591	0	2109871
27.450000	0	3316520	0	2110167
27.600000	0	3316665	0	2110014
27.750000	0	3316613	0	2109795
27.900000	0	3316747	0	2109827
28.050000	0	3316625	0	2109750
28.200000	0	3316560	0	2109826
28.350000	0	3316692	0	2109611
28.500000	0	3316585	0	2109786
28.650000	0	3316720	0	2109833
28.800000	0	3316605	0	2109738
28.950000	0	3316626	0	2109764
29.100000	0	3316752	0	2109730
29.250000	0	3316541	0	2109757
29.400000	0	3316749	0	2109684
29.550000	0	3316509	0	2109823
29.700000	0	3316485	0	2109593
29.850000	0	3316496	0	2109768
30.000000	0	3316707	0	2109836
30.150000	0	3316573	0	2109451
30.300000	0	3316591	0	2109825
30.450000	0	3316587	0	2109885
30.600000	0	3316682	0	2110004
30.750000	0	3316697	0	2109940
30.900000	0	3316689	0	2109979
31.050000	0	3316671	0	2109789
31.200000	0	3316615	0	2109791
31.350000	0	3316554	0	2109912
31.500000	0	3316721	0	2110113
31.650000	0	3316723	0	2109850
31.800000	0	3316575	0	2109619
31.950000	0	3316692	0	2109966
32.100000	0	3316674	0	2109964
32.250000	0	3316550	0	2109945
32.400000	0	3316669	0	2109829
32.550000	0	3316622	0	2109827
32.700000	0	3316626	0	2109834
32.850000	0	3316606	0	2109880
33.000000	0	3316682	0	2110071
33.150000	0	3316724	0	2109375
33.300000	0	3316621	0	2109587
33.450000	0	3316663	0	2109801
33.600000	0	3316683	0	2109960
33.750000	0	3316600	0	2109674
33.900000	0	3316679	0	2109729
34.050000	0	3316585	0	2110068
34.200000	0	3316473	0	2110038
34.350000	0	3316626	0	2109993
34.500000	0	3316458	0	2109626
34.650000	0	3316603	0	2109865
34.800000	0	3316716	0	2109853
34.950000	0	3316712	0	2110067
35.100000	0	3316549	0	2109894
35.250000	0	3316872	0	2110024
35.400000	0	3316691	0	2110007
35.550000	0	3316778	0	2109906
35.700000	0	3316627	0	2109993
35.850000	0	3316626	0	2109897
36.000000	0	3316662	0	2109741
36.150000	0	3316676	0	2109839
36.300000	0	3316823	0	2109870
36.450000	0	3316682	0	2109809
36.600000	0	3316608	0	2109938
36.750000	0	3316598	0	2109863
36.900000	0	3316734	0	2109703
37.050000	0	3316799	0	2110000
37.200000	0	3316698	0	2109921
37.350000	0	3316779	0	2109635
37.500000	0	3316636	0	2109978
37.650000	0	3316562	0	2110107
37.800000	0	3316534	0	2109840
37.950000	0	3316464	0	2109822
38.100000	0	3316699	0	2109898
38.250000	0	3316692	0	2109976
38.400000	0	3316504	0	2109844
38.550000	0	3316729	0	2109847
38.700000	0	3316728	0	2109752
38.850000	0	3316624	0	2109623
39.000000	0	3316812	0	2109679
39.150000	0	3316602	0	2110100
39.300000	0	3316631	0	2109820
39.450000	0	3316767	0	2109949
39.600000	0	3316723	0	2110064
39.750000	0	3316683	0	2109561
39.900000	0	3316698	0	2109785
40.050000	0	3316799	0	2109680
40.200000	0	3316863	0	2109915
40.350000	0	3316743	0	2109943
40.500000	0	3316601	0	2109990
40.650000	0	3316673	0	2109673
40.800000	0	3316614	0	2109775
40.950000	0	3316621	0	2109844
41.100000	0	3316694	0	2109651
41.250000	0	3316692	0	2109879
41.400000	0	3316707	0	2110085
41.550000	0	3316746	0	2109737
41.700000	0	3316698	0	2109960
41.850000	0	3316571	0	2109444
42.000000	0	3316636	0	2109766
42.150000	0	3316613	0	2110033
42.300000	0	3316516	0	2109930
42.450000	0	3316811	0	2109978
42.600000	0	3316598	0	2109510
42.750000	0	3316453	0	2110013
42.900000	0	3316533	0	2109747
43.050000	0	3316604	0	2109771
43.200000	0	3316645	0	2109790
43.350000	0	3316643	0	2109773
43.500000	0	3316737	0	2110021
43.650000	0	3316688	0	2109876
43.800000	0	3316614	0	2109858
43.950000	0	3316642	0	2109871
44.100000	0	3316660	0	2109602
44.250000	0	3316603	0	2109869
44.400000	0	3316617	0	2109637
44.550000	0	3316631	0	2109774
44.700000	0	3316856	0	2109777
