Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	3349327	0	2131972
0.300000	0	3349374	0	2132102
0.450000	0	3349377	0	2132075
0.600000	0	3349277	0	2131998
0.750000	0	3349270	0	2131904
0.900000	0	3349431	0	2131952
1.050000	0	3349147	0	2131986
1.200000	0	3349561	0	2132295
1.350000	0	3349467	0	2131990
1.500000	0	3349381	0	2132151
1.650000	0	3349446	0	2131819
1.800000	0	3349298	0	2132026
1.950000	0	3349373	0	2131906
2.100000	0	3349371	0	2132038
2.250000	0	3349346	0	2131978
2.400000	0	3349449	0	2131835
2.550000	0	3349434	0	2131998
2.700000	0	3349189	0	2132036
2.850000	0	3349385	0	2132020
3.000000	0	3349344	0	2131847
3.150000	0	3349345	0	2132021
3.300000	0	3349423	0	2132028
3.450000	0	3349277	0	2131809
3.600000	0	3349373	0	2132255
3.750000	0	3349108	0	2132063
3.900000	0	3349186	0	2131735
4.050000	0	3349233	0	2131926
4.200000	0	3349258	0	2132075
4.350000	0	3349313	0	2131918
4.500000	0	3349241	0	2131847
4.650000	0	3349250	0	2131968
4.800000	0	3349478	0	2131954
4.950000	0	3349337	0	2131910
5.100000	0	3349171	0	2131587
5.250000	0	3349212	0	2131946
5.400000	0	3349284	0	2131832
5.550000	0	3349374	0	2132010
5.700000	0	3349366	0	2131882
5.850000	0	3349164	0	2132085
6.000000	0	3349320	0	2132096
6.150000	0	3349389	0	2132031
6.300000	0	3349301	0	2132069
6.450000	0	3349325	0	2132011
6.600000	0	3349298	0	2131965
6.750000	0	3349344	0	2131788
6.900000	0	3349313	0	2132070
7.050000	0	3349353	0	2131971
7.200000	0	3349307	0	2132180
7.350000	0	3349502	0	2131872
7.500000	0	3349377	0	2131930
7.650000	0	3349118	0	2132078
7.800000	0	3349172	0	2131965
7.950000	0	3349262	0	2132113
8.100000	0	3349419	0	2131986
8.250000	0	3349227	0	2132044
8.400000	0	3349428	0	2131796
8.550000	0	3349207	0	2132004
8.700000	0	3349175	0	2131876
8.850000	0	3349146	0	2131808
9.000000	0	3349319	0	2131947
9.150000	0	3349503	0	2131846
9.300000	0	3349130	0	2131824
9.450000	0	3349226	0	2131931
9.600000	0	3349203	0	2131987
9.750000	0	3349259	0	2131883
9.900000	0	3349134	0	2132006
10.050000	0	3349241	0	2131917
10.200000	0	3349461	0	2131834
10.350000	0	3349296	0	2131996
10.500000	0	3349444	0	2132006
10.650000	0	3349217	0	2131827
10.800000	0	3349276	0	2131874
10.950000	0	3349228	0	2131976
11.100000	0	3349255	0	2132040
11.250000	0	3349234	0	2132293
11.400000	0	3349509	0	2131872
11.550000	0	3349351	0	2132071
11.700000	0	3349391	0	2132008
11.850000	0	3349328	0	2131935
12.000000	0	3349166	0	2131643
12.150000	0	3349228	0	2131983
12.300000	0	3349205	0	2132016
12.450000	0	3349137	0	2131981
12.600000	0	3349240	0	2131929
12.750000	0	3349249	0	2131795
12.900000	0	3349266	0	2131891
13.050000	0	3349131	0	2131990
13.200000	0	3349286	0	2132208
13.350000	0	3349237	0	2131928
13.500000	0	3349282	0	2131985
13.650000	0	3349057	0	2131788
13.800000	0	3349148	0	2131810
13.950000	0	3349319	0	2131677
14.100000	0	3349221	0	2131619
14.250000	0	3349093	0	2131678
14.400000	0	3349225	0	2131713
14.550000	0	3349204	0	2131740
14.700000	0	3349196	0	2132044
14.850000	0	3349193	0	2131921
15.000000	0	3349055	0	2131807
15.150000	0	3349284	0	2131758
15.300000	0	3349335	0	2131813
15.450000	0	3349153	0	2131775
15.600000	0	3349171	0	2131718
15.750000	0	3349042	0	2131748
15.900000	0	3349220	0	2132034
16.050000	0	3349424	0	2131686
16.200000	0	3349160	0	2131922
16.350000	0	3349322	0	2131854
16.500000	0	3349071	0	2131890
16.650000	0	3349327	0	2131767
16.800000	0	3349108	0	2131882
16.950000	0	3348979	0	2132121
17.100000	0	3349321	0	2131732
17.250000	0	3349126	0	2131629
17.400000	0	3349313	0	2131800
17.550000	0	3349245	0	2131932
17.700000	0	3349295	0	2131898
17.850000	0	3349158	0	2131771
18.000000	0	3349194	0	2132058
18.150000	0	3349353	0	2131766
18.300000	0	3349173	0	2131930
18.450000	0	3349096	0	2131871
18.600000	0	3349117	0	2131920
18.750000	0	3349286	0	2131789
18.900000	0	3349080	0	2132004
19.050000	0	3349026	0	2131715
19.200000	0	3349054	0	2131746
19.350000	0	3349125	0	2131774
19.500000	0	3349088	0	2131616
19.650000	0	3349025	0	2131955
19.800000	0	3349021	0	2131673
19.950000	0	3349116	0	2131582
20.100000	0	3349155	0	2132050
20.250000	0	3349018	0	2131952
20.400000	0	3349030	0	2131510
20.550000	0	3349082	0	2132003
20.700000	0	3349064	0	2131745
20.850000	0	3349216	0	2131738
21.000000	0	3348979	0	2131765
21.150000	0	3349206	0	2131935
21.300000	0	3349081	0	2132000
21.450000	0	3348938	0	2131760
21.600000	0	3349186	0	2131812
21.750000	0	3349030	0	2131966
21.900000	0	3349066	0	2131652
22.050000	0	3349099	0	2132014
22.200000	0	3349168	0	2131706
22.350000	0	3349052	0	2131813
22.500000	0	3349028	0	2131965
22.650000	0	3349128	0	2131612
22.800000	0	3349034	0	2131893
22.950000	0	3349209	0	2131817
23.100000	0	3349066	0	2131761
23.250000	0	3348926	0	2131654
23.400000	0	3349065	0	2131930
23.550000	0	3349068	0	2131799
23.700000	0	3349046	0	2131668
23.850000	0	3349110	0	2131831
24.000000	0	3349020	0	2131911
24.150000	0	3349119	0	2131843
24.300000	0	3349032	0	2131784
24.450000	0	3349002	0	2131806
24.600000	0	3349087	0	2132023
24.750000	0	3349044	0	2131613
24.900000	0	3348936	0	2131966
25.050000	0	3348923	0	2131910
25.200000	0	3348998	0	2131886
25.350000	0	3349142	0	2131622
25.500000	0	3349002	0	2131879
25.650000	0	3349021	0	2131724
25.800000	0	3349165	0	2131773
25.950000	0	3349009	0	2131744
26.100000	0	3349146	0	2131788
26.250000	0	3349102	0	2131652
26.400000	0	3349010	0	2131653
26.550000	0	3348897	0	2131946
